term,chi2,p,characteristic_of
circula,336.47293933846083,3.7412203184383106e-75,1
saúde,276.27090914674625,4.878078628455921e-62,0
vídeo,272.2469881076679,3.674475552512124e-61,1
redes,268.599000287894,2.2922074657607033e-60,1
redes sociais,264.9496062778225,1.4310620180334982e-59,1
circula redes,264.7186856707244,1.6069048613262976e-59,1
facebook,254.50328017025944,2.708434106077269e-57,1
sociais,242.1243292186429,1.353677651500567e-54,1
coronavírus,232.83470138279426,1.436010357600336e-52,0
disse,228.7845724947236,1.0975139399501278e-51,0
lula,223.58964487589515,1.4907973389544305e-50,1
feira,192.31446849362698,9.934550728247158e-44,0
pandemia,190.8531637253466,2.070646544509406e-43,0
covid,188.4129383124442,7.059269867764801e-43,0
whatsapp,186.58703532063151,1.767430044710769e-42,1
19,186.10837961564692,2.24818960513322e-42,0
casos,185.3550135838176,3.283188719088066e-42,0
covid 19,183.06925111670964,1.0358785385765914e-41,0
ministério,177.78766943521492,1.473933915885195e-40,0
diz,168.20553936791072,1.824343002172791e-38,1
publicações,161.47485648070358,5.3878923869331015e-37,1
ministério saúde,148.5039973462708,3.680958346802933e-34,0
mostra,143.02203384383787,5.813173959519649e-33,1
nesta,141.37048426576132,1.3351515607798628e-32,0
foto,140.01430309272274,2.6429319959693104e-32,1
verdade,135.46587079110418,2.6111764106813873e-31,1
mensagem,131.72840360839922,1.7155540325942473e-30,1
novo coronavírus,129.48394652878966,5.3144550508981085e-30,0
ministro,122.80022359023982,1.5422096334627823e-28,0
imagem,121.46751152159395,3.0190504369687683e-28,1
pra,114.16941986247248,1.1963729867595126e-26,1
doses,110.98937075932032,5.948880533384807e-26,0
novo,109.91150355779573,1.0246452082853567e-25,0
afirmou,105.54904535423404,9.257793451966407e-25,0
mortes,103.61021737303994,2.463037040333475e-24,0
conteúdo,102.00190519322754,5.546838960663016e-24,1
aqui,101.18987994384902,8.357523445393097e-24,1
estados,95.47819213543045,1.4952944389308757e-22,0
decisão,95.18068359172842,1.7377769667596642e-22,0
anunciou,94.60492848936269,2.3243888732893023e-22,0
informou,92.01961702179389,8.582150966794512e-22,0
sociais vídeo,91.7512496904234,9.828618626827288e-22,1
falsa,91.64030843826879,1.039537960197768e-21,1
pt,91.6338501114582,1.0429362133141104e-21,1
segundo,88.3790711629348,5.403954717649692e-21,0
vídeo mostra,88.07933948150975,6.288100212047898e-21,1
afirma,87.29920903200977,9.328520231226387e-21,1
compartilhado,85.51825539599702,2.295723576946937e-20,1
post,85.29507646906539,2.5700238094270522e-20,1
país,84.37361164278404,4.0957813643647036e-20,0
medidas,81.36469409609575,1.8768106006271338e-19,0
registrou,79.39850576791424,5.076448888787557e-19,0
compartilhadas,78.43919061951213,8.249910848489532e-19,1
vacinação,76.60774278187564,2.085205034294839e-18,0
texto,75.6873568185115,3.3232873762653095e-18,1
circulam,74.80690001467198,5.190797230625318e-18,1
secretário,73.19673835716763,1.1734952730479456e-17,0
tá,72.99634801384215,1.2988995877662164e-17,1
quarta,72.5699933166371,1.6121170861578232e-17,0
hoje,71.61035321776987,2.621774130093432e-17,0
twitter,71.59823605487614,2.637923929752535e-17,1
compartilhamentos,70.98178735875342,3.605377750266066e-17,1
cpi,70.85341932050363,3.8477621896002764e-17,0
comissão,70.56666776520139,4.4497214423003e-17,0
novos,70.20619026170468,5.3418545386822214e-17,0
aí,70.11154278529838,5.604406479914301e-17,1
nacional,69.98637609148221,5.971547295180243e-17,0
contra covid,69.87609994113733,6.314897477802221e-17,0
doença,69.85040632176853,6.39769195385736e-17,0
compartilhada,69.46712255993347,7.76989368791692e-17,1
sociais mensagem,69.33594699860808,8.304220289649827e-17,1
estado,69.24643095902658,8.689804044837011e-17,0
dose,69.24259536567749,8.706719941517327e-17,0
postagens,69.02166478013199,9.738772820925999e-17,1
imagens,68.78219699675371,1.0996088579062812e-16,1
quarta feira,67.23140254884638,2.414376205404656e-16,0
none,67.08380153588904,2.6020766818335857e-16,0
legenda,66.90258721109956,2.852602800121324e-16,1
câmara,65.85061009881537,4.864297545305208e-16,0
segunda feira,65.728559358405,5.175050013931576e-16,0
publicações compartilhadas,64.33333962122487,1.0505296174970114e-15,1
grupos whatsapp,63.64247641758638,1.4917763558275388e-15,1
agência,63.52849894523135,1.58063455947202e-15,0
sexta,63.21647245251486,1.8519317687701136e-15,0
olha,63.09001074844245,1.9747304754695525e-15,1
terça,62.01985466973336,3.4001175704640365e-15,0
web,61.96112092128921,3.5030584771580194e-15,1
24 horas,61.345956334079574,4.787735632061897e-15,0
quinta,61.28083363284726,4.948744598739383e-15,0
dilma,61.054869397352654,5.550606245537972e-15,1
leia íntegra,60.95541758381313,5.8382051318179796e-15,0
autoridades,60.818959537543876,6.257238221710387e-15,0
início,60.65975740862564,6.7842960265528105e-15,0
pacientes,60.62906487629172,6.890902908959058e-15,0
notícia,60.372467714443346,7.850336479679019e-15,1
sexta feira,59.88642452124404,1.0049221882998396e-14,0
ministro saúde,59.67940812591809,1.1163853683686066e-14,0
pandemia coronavírus,59.36285144448709,1.3112108252298205e-14,0
presidente jair,59.31055138068559,1.346526083559858e-14,0
cpi covid,59.08547469505942,1.509695553578839e-14,0
quinta feira,58.21330186776265,2.3518346700584162e-14,0
número,57.702729621918266,3.048794389098841e-14,0
através,57.37087676433941,3.609120091665197e-14,1
terça feira,57.25481281252152,3.82851090635583e-14,0
novos casos,57.11415758346705,4.112346177777435e-14,0
checagem,56.68127691999814,5.124919444628572e-14,1
confirmados,56.5791592695158,5.398093866982453e-14,0
bolsonaro partido,56.2746517409028,6.302269485842905e-14,0
íntegra,55.53605170404813,9.176061963798504e-14,0
geral,55.5358275775651,9.177108224982754e-14,0
contra,55.441196142899386,9.629702136337636e-14,0
medida,55.41309100258724,9.768373561803196e-14,0
pasta,55.19113506298977,1.0936085800639233e-13,0
povo,54.69811344594609,1.4054113801570448e-13,1
óbitos,53.92553755641779,2.0823351133948104e-13,0
mensagem diz,53.81921452116404,2.1981247357128615e-13,1
variante,53.55929198262048,2.509048847436763e-13,0
federal,52.934954366785135,3.447789395412494e-13,0
capital,52.92588843555234,3.4637399294111904e-13,0
dados,52.79566666841066,3.701169372494349e-13,0
quinzena,52.77484913985564,3.7406070953816034e-13,1
áudio,52.6204902543533,4.0464542230737305e-13,1
facebook twitter,52.607800030703636,4.072685074461161e-13,1
pandemia novo,52.37681403543229,4.58100723397785e-13,0
nesta quarta,51.860955899122175,5.957333452241123e-13,0
diz publicações,51.506469600629664,7.136154805399909e-13,1
24,51.486045600992895,7.210781590159306e-13,0
últimas,51.211636822678386,8.292558720700308e-13,0
secretaria,51.15925005180553,8.516840274057419e-13,0
nesta segunda,50.63925130794688,1.110027094862474e-12,0
últimas 24,50.3983549397184,1.2549938012232257e-12,0
consórcio,50.257433964891405,1.3484291932513921e-12,0
verificação,50.24273405981951,1.3585680763737528e-12,1
ontem,50.201943069713266,1.387103966857679e-12,0
falso,50.07276135957997,1.4814929460201666e-12,1
vigilância,49.664301096861514,1.824354104020824e-12,0
municípios,49.51325532110758,1.970359219089963e-12,0
supremo,49.39436817733734,2.0934577589262415e-12,0
total,48.6840702001323,3.0069891694426224e-12,0
milhões doses,48.644549491021564,3.0681983068595915e-12,0
fotos,48.5246971373978,3.2615544822317312e-12,1
estados unidos,48.459640151570206,3.371568375063916e-12,0
casos confirmados,48.37597025691388,3.518534398746742e-12,0
tiktok,48.247367777679415,3.757021976791208e-12,1
instagram,48.20256371908879,3.843854549913368e-12,1
união,48.07043962621176,4.111789055882861e-12,0
relator,47.93808300922324,4.3989369146211904e-12,0
sites,47.83449832638993,4.6375942239450695e-12,1
países,47.782171008088916,4.763038742830337e-12,0
crise,47.701928375801565,4.962033081721123e-12,0
publicação,47.670022010594664,5.043450799182731e-12,1
kwai,47.663519933308784,5.060205887622321e-12,1
2017,47.56797889898249,5.312925626260279e-12,1
astrazeneca,47.410604920554476,5.75703846952164e-12,0
desde início,47.39071062389435,5.8157639103185374e-12,0
unidos,47.37584697665764,5.860030461252263e-12,0
postagem,47.068447908855354,6.855038954897408e-12,1
dias,47.042697642971135,6.945696004915784e-12,0
levantamento,46.63178352474454,8.565957628758194e-12,0
acordo texto,46.22642027269267,1.0534678145881586e-11,1
inquérito,45.89717108464177,1.2462579382434635e-11,0
instituto,45.88613388765313,1.2532993034069298e-11,0
haddad,45.74026936533486,1.350183886205128e-11,1
leitos,45.28890957119215,1.7000912955444204e-11,0
facebook instagram,45.16568419956864,1.8104988985557428e-11,1
gravação,45.00757420802299,1.9627381469618446e-11,1
veja aqui,44.76222380217901,2.2247371074435843e-11,1
sábado,44.74365036388588,2.2459410403966287e-11,0
circulam redes,44.50937416682909,2.5314222401506256e-11,1
início pandemia,44.437652722972665,2.625878769020619e-11,0
segunda quinzena,44.31124127640958,2.8010314996290702e-11,1
semanas,43.840904283886694,3.561826025913288e-11,0
2023,43.654752575246135,3.917246765182576e-11,1
pandemia covid,43.60377488190497,4.0206274428301904e-11,0
média,43.23550653063528,4.853193603177451e-11,0
lula silva,43.188605341565086,4.970933366880013e-11,1
nesta quinta,43.17811250172285,4.997663318763607e-11,0
cerca,43.092622096870876,5.2208762455821214e-11,0
partido,43.00109769006066,5.4709160263564595e-11,0
paulo,42.897852412196,5.767393616074608e-11,0
média móvel,42.76335014826661,6.177882566858702e-11,0
tribunal,42.620213653996316,6.646893348150447e-11,0
sanitária,42.5898070108247,6.751027251419795e-11,0
tribunal federal,42.50224024933878,7.060131231720907e-11,0
governo,42.30134263417638,7.823882958763332e-11,0
reino unido,41.98216400696864,9.210975773703288e-11,0
compartilhadas facebook,41.97921411560458,9.224881719919309e-11,1
senado,41.966538979440855,9.284872534346559e-11,0
uol,41.935704006127914,9.43244865223663e-11,0
conteúdo investigado,41.93019347683952,9.459068262897632e-11,1
casos covid,41.921638053985504,9.500545868840913e-11,0
ministério público,41.77255802167885,1.0253243424176675e-10,0
podemos ver,41.527770727633694,1.1620836277962956e-10,1
isolamento,41.523302138696764,1.1647429274402896e-10,0
nesta sexta,41.51483388803429,1.1697991856846324e-10,0
infecções,41.200595373406756,1.373806900311179e-10,0
seis,41.154800631666916,1.4063741514189726e-10,0
inácio,41.13285738624206,1.422252009275152e-10,1
executivo,41.02172612052263,1.505463546319711e-10,0
supremo tribunal,40.893419710176275,1.6076152469939793e-10,0
pediu,40.88881360594807,1.611408713735115e-10,0
nesta terça,40.87048928580503,1.6265890858662457e-10,0
luiz inácio,40.79177643340039,1.693442194737258e-10,1
lira,40.77096833115057,1.711570248649331e-10,0
vamos,40.543536278564694,1.922835694171094e-10,1
unido,40.5217413639737,1.944403917323741e-10,0
queiroga,40.51462969724248,1.9514938891931274e-10,0
testes,40.50921065081678,1.9569137729437007e-10,0
consórcio veículos,40.37573328241599,2.0952743546532608e-10,0
organização,40.303758255456515,2.173903846624479e-10,0
imunização,40.2468727723831,2.2381332357307007e-10,0
publicações facebook,40.207444167090884,2.2837634728142968e-10,1
senador,40.025204335728375,2.5070701348886954e-10,0
inácio lula,39.96446951147563,2.586246387439093e-10,1
doses vacina,39.95698745039627,2.596171900084331e-10,0
reino,39.81815587272674,2.787419114706891e-10,0
bolsonaro pl,39.52630467001646,3.2367003884848327e-10,1
00,39.41273484678134,3.4305237826118645e-10,1
uti,39.17085310547853,3.8829379530785244e-10,0
pedido,39.1080270258346,4.0099193508003217e-10,0
gente,39.09142636620638,4.0441607962118374e-10,1
post facebook,38.83329157348501,4.6158799006608475e-10,1
espalhou,38.804065039705605,4.685510828900504e-10,1
pazuello,38.62989941294427,5.122811833582002e-10,0
apareceu,38.422004323603,5.698622234788499e-10,1
restrições,38.36770787540304,5.85939850700813e-10,0
deus,38.35298142259725,5.903782359629214e-10,1
alegação,38.28594249145223,6.11012236670244e-10,1
economia,38.28355429090111,6.117604759528746e-10,0
novas,38.127551193375126,6.626778219371187e-10,0
tudo,38.06206585231252,6.852960800168623e-10,1
blogs,37.9624025074083,7.212113754734885e-10,1
aumento,37.94388930899241,7.280875730596756e-10,0
atividades,37.88826208517164,7.491461636863369e-10,0
presidente,37.77057422389355,7.957304264227888e-10,0
montagem,37.24078483020409,1.0440719436277845e-09,1
móvel,37.18419350453657,1.074814609092073e-09,0
surgiu,37.10196011121622,1.1211097057664094e-09,1
