term,count_a,count_b,log_odds,z
presidente jair bolsonaro,3152,1053,0.8687283165402189,24.406751871157063
jair bolsonaro partido,1353,292,1.302149553880393,20.180161644418238
supremo tribunal federal,1390,377,1.0733554245686925,18.484521818940667
pandemia novo coronavírus,755,75,2.0766218406071397,17.153354908387637
vacina contra covid-19,740,146,1.3900698657321255,15.350586061492564
agência nacional vigilância,505,71,1.7282609935624649,13.636417583141727
nacional vigilância sanitária,502,71,1.722290453482218,13.584305647913377
organização mundial saúde,646,164,1.137488006892121,13.009294344620017
vacinação contra covid-19,441,64,1.6963046875879604,12.682290756845957
desde início pandemia,488,15,3.2483438492470444,12.39578614434426
stf supremo tribunal,477,95,1.3798187486690168,12.281879603998535
últimas 24 horas,571,11,3.715689846394268,12.211978130876801
ministério público federal,265,26,2.0870364555837293,10.157104582572616
mundial saúde oms,380,97,1.1312373901418677,9.944689368113925
saúde eduardo pazuello,243,12,2.773095232672449,9.38126145613527
saúde marcelo queiroga,265,8,3.264920328357447,9.10380078966117
economia paulo guedes,216,25,1.9216026501511116,9.097683462724087
ministro economia paulo,212,25,1.9028949451002726,9.000307227597773
ministro saúde marcelo,255,8,3.22641440575065,8.991261422939834
luiz henrique mandetta,218,30,1.7485462000842817,8.98059198013664
sistema único saúde,210,14,2.472969985118496,8.962197370215197
tribunal federal stf,474,172,0.7795264519263823,8.757466304622131
anvisa agência nacional,195,15,2.329853525334432,8.697953440570833
vacinas contra covid-19,385,125,0.8906044327762199,8.651663736309128
secretarias estaduais saúde,297,5,3.8483206133894567,8.54196513086311
diário oficial união,225,48,1.3102066648012576,8.2415583152965
comissão parlamentar inquérito,176,11,2.5371988749497874,8.16719292842849
governador paulo joão,264,72,1.0646887214234608,8.008417090010795
superior tribunal justiça,165,13,2.305694187942719,8.006838834416289
paulo joão doria,275,79,1.012748614527391,7.934197974090168
vigilância sanitária anvisa,232,57,1.169006920359255,7.908279432062554
milhões doses vacina,185,7,3.0385919770126266,7.896884111398708
fundação oswaldo cruz,194,6,3.240046951826958,7.8228298818245925
doses vacina contra,164,9,2.667015410972401,7.794260759494828
senador flávio bolsonaro,171,27,1.610873166804942,7.780004797468798
unidade terapia intensiva,153,10,2.492291354317251,7.639330738327477
governador joão doria,158,22,1.7364922782123173,7.632464369649745
dose vacina contra,155,9,2.610540646249852,7.617707790348952
uol faz parte,163,7,2.911903212510925,7.5490632186134
renan calheiros mdb-al,145,12,2.256392461531779,7.514630546782548
primeira dose vacina,149,8,2.6886892788638246,7.412882125428677
contra novo coronavírus,250,75,0.9693130510962948,7.362872669555588
arthur lira pp-al,175,5,3.3188962867413645,7.324594691194231
saúde luiz henrique,143,8,2.6475657575866345,7.291703216380878
estados distrito federal,197,4,3.660047971280883,7.255769289848064
presidente estados unidos,183,43,1.2134326114392815,7.160846414192262
secretaria municipal saúde,130,11,2.2340803579383097,7.117713021193134
universidade johns hopkins,127,10,2.305947035778172,7.024142977634384
câmara rodrigo maia,135,21,1.6255918486234897,6.931342686165454
luís roberto barroso,190,50,1.1001705675521203,6.922340579585899
secretaria estadual saúde,125,8,2.5129709533291553,6.894735856567302
único saúde sus,122,10,2.2657636715195757,6.891432350625484
república augusto aras,158,4,3.439291484880691,6.801412940832249
ministro saúde eduardo,137,5,3.073950892331813,6.757984122990059
publicada diário oficial,116,11,2.12008784388333,6.722939059347857
joão doria psdb,205,62,0.9610792309526897,6.631407023150927
tribunal contas união,124,20,1.5893315607369525,6.597129396082133
unidos joe biden,107,10,2.1345213055159356,6.458024197105224
estados unidos joe,107,10,2.1345213055159356,6.458024197105224
rodrigo maia dem-rj,120,20,1.556527986570841,6.446057264196965
procurador-geral república augusto,157,3,3.719794909540645,6.392618206096811
senado rodrigo pacheco,104,9,2.2113284561775988,6.367596667963824
marco aurélio mello,104,7,2.4623362211977184,6.310202542991234
presidente câmara rodrigo,116,20,1.5226128691902714,6.2901263411056965
presidente câmara deputados,127,26,1.3509673897517116,6.277112340965828
general eduardo pazuello,104,6,2.616254370879771,6.236184145435035
proposta emenda constituição,98,9,2.1518862652795114,6.181365592412456
novo coronavírus brasil,97,5,2.7285466528698725,5.955467231766479
secretaria estado saúde,92,6,2.4936152762886747,5.922797059498316
senador renan calheiros,101,17,1.5465406875170968,5.900895007103495
presidente senado rodrigo,89,8,2.1731779976646184,5.891153281845784
oms organização mundial,140,38,1.0690382670996144,5.8450376865072196
oswaldo cruz fiocruz,115,3,3.408331870529806,5.837341748683882
depoimento cpi covid,88,10,1.9389713830743052,5.812956855771625
imprensa uol faz,156,2,4.1172119630702975,5.799912536740621
jair bolsonaro disse,87,6,2.437720517698226,5.779863279054091
ministro edson fachin,85,8,2.1271817343926154,5.755296384391404
durante pandemia novo,86,11,1.8207517340885842,5.688375148816593
vice-presidente hamilton mourão,94,16,1.5352866362489879,5.6785354540844155
ministro saúde luiz,85,5,2.596452171924118,5.64760993808899
casos novo coronavírus,103,3,3.2980895450713676,5.6401607796999045
contra covid-19 desenvolvida,82,6,2.378518108216645,5.628419020242879
ministro luís roberto,94,17,1.4746935593970507,5.596807311621894
ministro meio ambiente,86,13,1.6538269976362932,5.559576856151832
ministro relações exteriores,84,12,1.7102749038292497,5.543985277163792
governo jair bolsonaro,288,126,0.5919585867279515,5.542260738183155
ministro stf supremo,100,21,1.3253693386734096,5.522593594895708
unidades terapia intensiva,85,4,2.819102042831063,5.516634304556352
ministério relações exteriores,78,6,2.3284975043109064,5.500432166295298
novo coronavírus sars-cov-2,78,6,2.3284975043109064,5.500432166295298
meio ambiente ricardo,81,11,1.7608402235000558,5.4820350952801755
tribunal justiça stj,77,8,2.0283152482641427,5.463421721346119
terapia intensiva uti,82,4,2.7831620097295913,5.441822359988046
causada novo coronavírus,131,38,1.0025610841697716,5.441804711057492
ex-ministro saúde eduardo,77,5,2.497585685795645,5.416926449801446
presidente câmara arthur,119,2,3.8463473053410695,5.407663737689937
governo presidente jair,105,25,1.199877268328498,5.392670933121626
ambiente ricardo salles,80,12,1.6614742547218047,5.369033831052266
controle prevenção doenças,116,31,1.08447811001838,5.364523814749875
mandados busca apreensão,78,4,2.7331414058238526,5.337643258703157
