term,count_a,count_b,log_odds,z
jair bolsonaro partido,1919,296,1.5514801129032643,24.845583322398976
presidente jair bolsonaro,3289,1056,0.8196371092393946,23.173537520380563
supremo tribunal federal,1589,378,1.1165786976616916,19.51191564835297
pandemia novo coronavírus,979,75,2.24882473222444,18.770866880036564
stf supremo tribunal,683,95,1.651211308444883,15.080143138756227
vacina contra covid-19,762,145,1.337878835677298,14.76684320164507
organização mundial saúde,760,163,1.218140771585074,14.112654217030729
agência nacional vigilância,537,70,1.7156423252694841,13.501949428207237
nacional vigilância sanitária,534,70,1.7100288720430985,13.453414322490813
vacinação contra covid-19,476,64,1.6844646342025689,12.652866529679006
últimas 24 horas,661,11,3.7740025813030424,12.419633155266519
desde início pandemia,529,15,3.2408100579421655,12.381362298310167
tribunal federal stf,651,173,1.0033334234304565,11.730211331693425
mundial saúde oms,467,96,1.259763190648374,11.242122884263843
joão doria psdb,369,62,1.4612006251034657,10.64660328091313
ministério público federal,308,26,2.1492811479605596,10.525908198132182
anvisa agência nacional,253,14,2.5711429720408967,9.367899912458219
vacinas contra covid-19,436,124,0.9349055364846173,9.186340561673815
secretarias estaduais saúde,399,5,4.055632254874242,9.02127432268743
saúde eduardo pazuello,233,12,2.642762179557147,8.931329232066172
jornal estado paulo,220,18,2.1800861908033413,8.894980605510474
saúde marcelo queiroga,245,8,3.098094650875291,8.628303627411412
economia paulo guedes,213,25,1.8193410060495037,8.607246183641102
vigilância sanitária anvisa,273,57,1.243618880646741,8.540474000165776
ministro saúde marcelo,237,8,3.0648678531281393,8.531208956649827
diário oficial união,253,48,1.3393283381490226,8.50793334010703
ministro economia paulo,205,25,1.7810305491001834,8.408778988483757
luiz henrique mandetta,210,30,1.622864857980126,8.315945328366055
superior tribunal justiça,193,13,2.374288442958399,8.289099270270887
sistema único saúde,191,14,2.2898064359188615,8.272709555219063
oms organização mundial,222,38,1.4421170960653091,8.21546881788176
rodrigo maia dem-rj,187,20,1.9121357311670417,8.129587771925877
uol faz parte,216,7,3.1053694532644522,8.091654080618763
comissão parlamentar inquérito,186,11,2.504245273163443,8.073902697254388
governador paulo joão,283,72,1.045974062419531,7.924863700491415
fundação oswaldo cruz,218,6,3.2685113575485776,7.904639084782293
milhões doses vacina,194,7,2.997871674068719,7.797663166004097
paulo joão doria,290,79,0.9776277716870672,7.703642056943782
unidade terapia intensiva,168,10,2.4976251696820677,7.676751254248978
doses vacina contra,167,9,2.5969063142419033,7.59292145810619
arthur lira pp-al,202,5,3.3742214492968294,7.460582323781486
senador flávio bolsonaro,173,27,1.5342589712356407,7.415831529618781
causada novo coronavírus,195,38,1.312343913980759,7.401648187757218
dose vacina contra,155,9,2.5222971088670905,7.360208071608976
universidade johns hopkins,148,10,2.3708062656748856,7.259431400806592
renan calheiros mdb-al,146,12,2.175028581151489,7.245556438065079
estados distrito federal,205,4,3.6116241640707027,7.162561063188845
primeira dose vacina,152,7,2.7537502617892953,7.128427966540323
governador joão doria,153,22,1.616073863164253,7.08903785654705
contra novo coronavírus,262,75,0.9279634310979921,7.086332745329263
presidente estados unidos,192,43,1.1732198947266008,6.954623968680781
saúde luiz henrique,137,8,2.516443185527331,6.922541539520788
único saúde sus,130,10,2.2410700845864655,6.83228256930075
secretaria estadual saúde,130,8,2.463974308098222,6.768147280969225
secretaria municipal saúde,127,11,2.122488699458403,6.755958802761625
república augusto aras,151,4,3.3057082977742365,6.533497086041602
estados unidos joe,115,10,2.118421371441263,6.4284673472496605
unidos joe biden,115,10,2.118421371441263,6.4284673472496605
ministro saúde eduardo,128,5,2.917734232729849,6.406606806653016
câmara rodrigo maia,129,21,1.4918737976551162,6.341357236576828
ministro stf supremo,129,21,1.4918737976551162,6.341357236576828
tribunal contas união,127,20,1.5250137393260754,6.340566320728314
novo coronavírus sars-cov-2,119,5,2.8447995157234702,6.237583787105735
covid-19 doença causada,149,32,1.2149655346638255,6.236647850207166
durante pandemia novo,109,11,1.9695947898177835,6.228405862898461
bruno covas psdb,155,35,1.1648633499521344,6.225170316377229
procurador-geral república augusto,151,3,3.5925646558159112,6.171662024179368
imprensa uol faz,210,2,4.326406278361336,6.104595627142075
