Model,F1,F1_95ci_lo,F1_95ci_hi,Acc,Acc_95ci_lo,Acc_95ci_hi
TFIDF+LogReg,0.9315,0.9267,0.9363,0.9315,0.9267,0.9363
TFIDF+SVM,0.9402,0.9356,0.9447,0.9402,0.9356,0.9447
TFIDF+MLP,0.9412,0.9367,0.9456,0.9412,0.9367,0.9457
BERT[CLS]+LogReg,0.9243,0.9192,0.9292,0.9243,0.9192,0.9292
BERT[CLS]+SVM,0.9265,0.9216,0.9313,0.9265,0.9216,0.9313
BERT[CLS]+MLP,0.9359,0.931,0.9405,0.9359,0.931,0.9405
CNN,0.9591,0.9554,0.9629,0.9591,0.9554,0.9629
LSTM,0.9598,0.956,0.9635,0.9598,0.956,0.9635
ConvLSTM,0.958,0.9541,0.9617,0.958,0.9541,0.9617
Ens2 (CNN+LSTM),0.9611,0.9574,0.9648,0.9611,0.9574,0.9648
Ens3 (CNN+LSTM+ConvLSTM),0.9612,0.9575,0.9648,0.9612,0.9575,0.9648
WEns2 (α=0.50),0.9611,0.9574,0.9648,0.9611,0.9574,0.9648
WEns3 (0.5/0.2/0.3),0.9611,0.9574,0.9648,0.9611,0.9574,0.9648
BERTimbau FT,0.9621,0.9584,0.9657,0.9621,0.9584,0.9657
PLM: bert-large-portuguese-cased,0.9597,0.956,0.9634,0.9597,0.956,0.9634
PLM: xlm-roberta-base,0.9443,0.9398,0.9486,0.9443,0.9398,0.9486
PLM: mdeberta-v3-base,0.9197,0.9144,0.9248,0.9199,0.9145,0.9249
