Model,Brier,ECE
TFIDF+LogReg,0.056,0.0595
TFIDF+SVM,0.045,0.0057
TFIDF+MLP,0.0449,0.0069
BERT[CLS]+LogReg,0.0549,0.0058
BERT[CLS]+SVM,0.0543,0.0086
BERT[CLS]+MLP,0.0486,0.0217
CNN,0.0349,0.054
LSTM,0.0338,0.0515
ConvLSTM,0.0348,0.0483
Ens2 (CNN+LSTM),0.0328,0.0568
Ens3 (CNN+LSTM+ConvLSTM),0.0324,0.0566
WEns2 (α=0.50),0.0328,0.0568
WEns3 (0.5/0.2/0.3),0.0327,0.0573
BERTimbau FT,0.031,0.0351
PLM: bert-large-portuguese-cased,0.0324,0.0361
PLM: xlm-roberta-base,0.0433,0.0377
PLM: mdeberta-v3-base,0.0608,0.0275
