A,B,A_only_correct,B_only_correct,p,p_holm,sig@0.05
BERTimbau FT,TFIDF+MLP,400,181,5.450752463654638e-20,1.1446580173674741e-18,True
Ens3 (CNN+LSTM+ConvLSTM),TFIDF+MLP,399,189,2.9621756565808862e-18,5.924351313161773e-17,True
Ens2 (CNN+LSTM),TFIDF+MLP,398,189,4.02889511187222e-18,7.654900712557219e-17,True
LSTM,TFIDF+MLP,407,212,3.761388537261409e-15,6.770499367070536e-14,True
CNN,TFIDF+MLP,404,216,3.7916772425392755e-14,6.445851312316768e-13,True
ConvLSTM,TFIDF+MLP,397,221,1.3703854840233132e-12,2.1926167744373012e-11,True
ConvLSTM,Ens3 (CNN+LSTM+ConvLSTM),58,92,0.0068516390681737,0.1027745860226055,False
ConvLSTM,BERTimbau FT,129,172,0.0153455882748761,0.2148382358482654,False
ConvLSTM,Ens2 (CNN+LSTM),95,128,0.0318910825743918,0.41458407346709336,False
CNN,BERTimbau FT,129,160,0.0774320893876492,0.9291850726517904,False
CNN,Ens3 (CNN+LSTM+ConvLSTM),67,89,0.0923768458186001,1.0,False
CNN,Ens2 (CNN+LSTM),62,83,0.0963940173228772,1.0,False
LSTM,BERTimbau FT,130,154,0.1722079505173703,1.0,False
LSTM,Ens2 (CNN+LSTM),56,70,0.2467062471894174,1.0,False
LSTM,Ens3 (CNN+LSTM+ConvLSTM),66,81,0.2481257257537915,1.0,False
LSTM,ConvLSTM,140,121,0.2651692458280467,1.0,False
CNN,ConvLSTM,134,122,0.4918428499814105,1.0,False
Ens2 (CNN+LSTM),BERTimbau FT,123,133,0.5738613765945546,1.0,False
Ens3 (CNN+LSTM+ConvLSTM),BERTimbau FT,120,129,0.6122584257423296,1.0,False
CNN,LSTM,132,139,0.7155770633261691,1.0,False
Ens2 (CNN+LSTM),Ens3 (CNN+LSTM+ConvLSTM),36,37,0.9999999999999998,1.0,False
