Modelo,Accuracy,Precision,Recall,F1,Inference (ms)
BERTimbau FT [seed=7],0.9625632699837647,0.9625629195396026,0.9625634933056357,0.9625631713057108,1.5658493450020163
BERTimbau FT [seed=42],0.9620857606723331,0.9621447258477065,0.9620761047734854,0.9620838669724229,1.5676606749978246
Ens3 (CNN+LSTM+ConvLSTM),0.9612262439117563,0.9612336843512347,0.9612306218412958,0.9612262265833816,0.0
WEns2 (α=0.50),0.9611307420494699,0.9611405183786402,0.9611356395408015,0.9611307065983201,0.0
Ens2 (CNN+LSTM),0.9611307420494699,0.9611405183786402,0.9611356395408015,0.9611307065983201,0.0
WEns3 (0.5/0.2/0.3),0.9611307420494699,0.9611303029064838,0.9611314805309086,0.9611306725651554,0.0
LSTM,0.9597937159774615,0.9598634213548987,0.9598055407497236,0.9597927991923995,0.10431790782209682
PLM: bert-large-portuguese-cased,0.9596982141151752,0.9597030007401596,0.9597018938452855,0.9596982108069847,5.897275618934868
CNN,0.9591252029414573,0.9591281929859381,0.959123335438376,0.9591248894118076,0.053545611485996854
ConvLSTM,0.9579791805940215,0.957978820742664,0.9579793888225514,0.9579790698329407,0.055796322946891824
PLM: xlm-roberta-base,0.9443224142870786,0.945235597086743,0.9442818539114941,0.9442901474221131,1.5556452188026415
TFIDF+MLP,0.9411708528316303,0.941273722181574,0.9411574889357568,0.9411660100019688,0.0028787147872439546
TFIDF+SVM,0.9402158342087671,0.9402386874060695,0.9402097454357603,0.9402143025122659,0.0005646360351982186
BERT[CLS]+MLP,0.935918250405883,0.9359197207987044,0.9359168263689983,0.9359178553055324,0.0008525325602827526
TFIDF+LogReg,0.9315251647407125,0.9315345246707989,0.9315213001502716,0.9315241654749737,0.0
BERT[CLS]+SVM,0.9264635660395377,0.9265018765018764,0.9264553524815609,0.9264607322362792,0.0028974995573479356
BERT[CLS]+LogReg,0.9242670232069525,0.924316661627726,0.9242575893721974,0.9242634422901093,0.0009111182735888667
PLM: mdeberta-v3-base,0.919873937541782,0.9226307246435577,0.9198010643417072,0.9197334925463725,2.254799015484889
BERTimbau FT [Fake.br->Main],0.8500620762104861,0.850687899811617,0.850100399958118,0.8500045839493016,1.566267049980874
