Categoria,N,Erros,Taxa erro,Acc,F1
Dinheiro,11,1,0.0909,0.9091,0.4762
Correntes,15,1,0.0667,0.9333,0.4828
Fotos,15,1,0.0667,0.9333,0.4828
Ciência,16,1,0.0625,0.9375,0.4839
meio ambiente,19,1,0.0526,0.9474,0.4865
 UOL Confere ,487,15,0.0308,0.9692,0.4922
Crimes,74,2,0.027,0.973,0.4932
ciência,320,8,0.025,0.975,0.9099
Mundo,162,4,0.0247,0.9753,0.4938
entretenimento,832,19,0.0228,0.9772,0.4942
"
Eleições",47,1,0.0213,0.9787,0.4946
política,1627,34,0.0209,0.9791,0.9548
Animais,52,1,0.0192,0.9808,0.4951
Saúde,205,3,0.0146,0.9854,0.4963
"
Nas Redes
",488,7,0.0143,0.9857,0.4964
Política,540,7,0.013,0.987,0.4967
Falso,200,2,0.01,0.99,0.4975
saúde,2632,25,0.0095,0.9905,0.9209
brasil,123,1,0.0081,0.9919,0.498
Entretenimento,140,1,0.0071,0.9929,0.4982
Brasil,293,1,0.0034,0.9966,0.4991
Conspirações,97,0,0.0,1.0,1.0
Construções,14,0,0.0,1.0,1.0
Religião,84,0,0.0,1.0,1.0
Cinema / TV,55,0,0.0,1.0,1.0
Esporte,95,0,0.0,1.0,1.0
"
Política",18,0,0.0,1.0,1.0
E-farsas TV,20,0,0.0,1.0,1.0
 Pandemia,54,0,0.0,1.0,1.0
esporte,14,0,0.0,1.0,1.0
"
Checamos
",32,0,0.0,1.0,1.0
Tecnologia,175,0,0.0,1.0,1.0
"
Pandemia",17,0,0.0,1.0,1.0
Acidentes,43,0,0.0,1.0,1.0
Fast-Checking,19,0,0.0,1.0,1.0
 Políticas públicas,20,0,0.0,1.0,1.0
Fora de Contexto,16,0,0.0,1.0,1.0
