Fonte,N,Erros,Taxa erro,Acc,F1
economia.uol.com.br,47,2,0.0426,0.9574,0.4891
noticias.uol.com.br,1863,44,0.0236,0.9764,0.9704
politica.estadao.com.br,249,5,0.0201,0.9799,0.4949
projetocomprova.com.br,174,3,0.0172,0.9828,0.4957
uol.com.br,125,2,0.016,0.984,0.496
e-farsas.com,664,10,0.0151,0.9849,0.4962
aosfatos.org,523,7,0.0134,0.9866,0.4966
g1.globo.com,1135,15,0.0132,0.9868,0.9862
extra.globo.com,227,3,0.0132,0.9868,0.4967
boatos.org,1716,16,0.0093,0.9907,0.4977
cnnbrasil.com.br,259,2,0.0077,0.9923,0.4981
lupa.uol.com.br,609,2,0.0033,0.9967,0.4992
checamos.afp.com,322,1,0.0031,0.9969,0.4992
gov.br,33,0,0.0,1.0,1.0
estadao.com.br,18,0,0.0,1.0,1.0
