Categoria,N,Erros,Taxa erro,Acc,F1
"
Política",16,3,0.1875,0.8125,0.4483
"
Checamos
",39,5,0.1282,0.8718,0.4658
Ciência,18,2,0.1111,0.8889,0.4706
Saúde,217,23,0.106,0.894,0.472
Fora de Contexto,20,2,0.1,0.9,0.4737
 Pandemia,47,4,0.0851,0.9149,0.4778
esporte,12,1,0.0833,0.9167,0.4783
 UOL Confere ,471,39,0.0828,0.9172,0.4784
Fotos,14,1,0.0714,0.9286,0.4815
Mundo,156,11,0.0705,0.9295,0.4817
Dinheiro,19,1,0.0526,0.9474,0.4865
Esporte,79,4,0.0506,0.9494,0.487
ciência,339,17,0.0501,0.9499,0.8554
 Políticas públicas,20,1,0.05,0.95,0.4872
Animais,60,3,0.05,0.95,0.4872
política,1675,83,0.0496,0.9504,0.9032
Correntes,22,1,0.0455,0.9545,0.4884
Cinema / TV,66,3,0.0455,0.9545,0.4884
Brasil,298,13,0.0436,0.9564,0.4889
Conspirações,103,4,0.0388,0.9612,0.4901
entretenimento,837,32,0.0382,0.9618,0.4903
Crimes,81,3,0.037,0.963,0.4906
Política,524,17,0.0324,0.9676,0.4918
"
Nas Redes
",438,12,0.0274,0.9726,0.4931
Falso,190,5,0.0263,0.9737,0.4933
Tecnologia,158,4,0.0253,0.9747,0.4936
Religião,85,2,0.0235,0.9765,0.494
"
Eleições",47,1,0.0213,0.9787,0.4946
Entretenimento,154,3,0.0195,0.9805,0.4951
brasil,110,2,0.0182,0.9818,0.4954
saúde,2581,41,0.0159,0.9841,0.8653
E-farsas TV,17,0,0.0,1.0,1.0
Acidentes,45,0,0.0,1.0,1.0
Fast-Checking,16,0,0.0,1.0,1.0
Construções,10,0,0.0,1.0,1.0
Demoníaco,13,0,0.0,1.0,1.0
"
Pandemia",22,0,0.0,1.0,1.0
meio ambiente,11,0,0.0,1.0,1.0
