Categoria,N,Erros,Taxa erro,Acc,F1
Dinheiro,19,2,0.1053,0.8947,0.4722
esporte,12,1,0.0833,0.9167,0.4783
 UOL Confere ,471,39,0.0828,0.9172,0.4784
Mundo,156,12,0.0769,0.9231,0.48
Saúde,217,14,0.0645,0.9355,0.4833
"
Política",16,1,0.0625,0.9375,0.4839
entretenimento,837,49,0.0585,0.9415,0.4849
Ciência,18,1,0.0556,0.9444,0.4857
política,1675,90,0.0537,0.9463,0.8966
"
Checamos
",39,2,0.0513,0.9487,0.4868
Esporte,79,4,0.0506,0.9494,0.487
 Políticas públicas,20,1,0.05,0.95,0.4872
Fora de Contexto,20,1,0.05,0.95,0.4872
"
Pandemia",22,1,0.0455,0.9545,0.4884
Correntes,22,1,0.0455,0.9545,0.4884
ciência,339,15,0.0442,0.9558,0.8724
 Pandemia,47,2,0.0426,0.9574,0.4891
"
Eleições",47,2,0.0426,0.9574,0.4891
Brasil,298,12,0.0403,0.9597,0.4897
Animais,60,2,0.0333,0.9667,0.4915
Política,524,17,0.0324,0.9676,0.4918
Cinema / TV,66,2,0.0303,0.9697,0.4923
Crimes,81,2,0.0247,0.9753,0.4938
saúde,2581,62,0.024,0.976,0.8196
Entretenimento,154,3,0.0195,0.9805,0.4951
Conspirações,103,2,0.0194,0.9806,0.4951
"
Nas Redes
",438,8,0.0183,0.9817,0.4954
brasil,110,2,0.0182,0.9818,0.4954
Falso,190,3,0.0158,0.9842,0.496
Tecnologia,158,2,0.0127,0.9873,0.4968
Religião,85,1,0.0118,0.9882,0.497
E-farsas TV,17,0,0.0,1.0,1.0
Acidentes,45,0,0.0,1.0,1.0
Fast-Checking,16,0,0.0,1.0,1.0
Construções,10,0,0.0,1.0,1.0
Fotos,14,0,0.0,1.0,1.0
Demoníaco,13,0,0.0,1.0,1.0
meio ambiente,11,0,0.0,1.0,1.0
