Fonte,N,Erros,Taxa erro,Acc,F1
politica.estadao.com.br,256,19,0.0742,0.9258,0.4807
noticias.uol.com.br,1835,136,0.0741,0.9259,0.9076
projetocomprova.com.br,173,10,0.0578,0.9422,0.4851
boatos.org,1695,66,0.0389,0.9611,0.4901
economia.uol.com.br,54,2,0.037,0.963,0.4906
extra.globo.com,212,6,0.0283,0.9717,0.4928
g1.globo.com,1135,32,0.0282,0.9718,0.9704
aosfatos.org,477,10,0.021,0.979,0.4947
e-farsas.com,717,15,0.0209,0.9791,0.4947
uol.com.br,131,2,0.0153,0.9847,0.4962
lupa.uol.com.br,644,7,0.0109,0.9891,0.4973
cnnbrasil.com.br,276,3,0.0109,0.9891,0.4973
checamos.afp.com,320,3,0.0094,0.9906,0.4976
gov.br,42,0,0.0,1.0,1.0
estadao.com.br,16,0,0.0,1.0,1.0
